Color,Contour Index,Perimeter (mm),Area (mm^2),Roundness,Average Diameter (mm),Width (mm),Height (mm),Volume (mm^3),Mass (g)
Green,227,246.4351796656847,181.0546875,0.03746400705874628,28.706785202026367,24.0,19.625,9679.639664791852,24.199099161979632
Green,229,63.74353310465813,53.1015625,0.1642271293231355,14.088510513305664,12.625,9.875,1289.241311755497,3.2231032793887424
Red,1,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Red,4,6.548096999526024,0.1640625,0.04808271484208849,2.7670180797576904,2.75,1.125,3.644738352016283,0.009111845880040707
Red,6,0.5,0.0,0.0,0.2500250041484833,0.125,0.375,0.018407769454627694,4.601942363656924e-05
Red,10,6.139087185263634,0.40625,0.13545518562079403,2.8090505599975586,1.625,2.5,10.635600129340444,0.02658900032335111
Red,11,0.25,0.0,0.0,0.12502500414848328,0.25,0.125,0.0040906154343617095,1.0226538585904274e-05
Red,12,1.9874368458986282,0.0234375,0.07456490602572753,0.6250249743461609,0.625,0.625,0.2556634646476068,0.0006391586616190171
Red,13,0.6767766922712326,0.0234375,0.6430287075658971,0.2795335054397583,0.375,0.25,0.02454369260617026,6.135923151542565e-05
Red,14,0.9571067690849304,0.0,0.0,0.4507189095020294,0.375,0.5,0.09817477042468103,0.0002454369260617026
Red,16,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Red,17,9.742640599608421,5.953125,0.788136610426468,3.331531524658203,3.375,2.625,20.12889589863538,0.050322239746588456
Red,19,10.894290938973427,0.6484375,0.06865624521702225,4.698761463165283,2.625,4.25,49.65189014228243,0.12412972535570609
Red,21,7.9623105227947235,0.7578125,0.15020811888472066,3.3773391246795654,1.0,3.5,12.828170002158322,0.0320704250053958
Red,22,0.4267766922712326,0.0078125,0.5390120920947209,0.17680169641971588,0.25,0.25,0.016362461737446838,4.0906154343617095e-05
Red,23,3.8409902304410934,0.1171875,0.09981705409161498,1.6441433429718018,0.5,1.75,1.6035212502697902,0.004008803125674475
Red,25,18.040737584233284,1.8671875,0.07209235564134557,5.3180365562438965,2.375,5.0,62.17735460229798,0.15544338650574496
Red,27,0.5,0.0,0.0,0.2500250041484833,0.375,0.125,0.006135923151542565,1.5339807878856413e-05
Red,28,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Red,29,2.6213203072547913,0.109375,0.2000265968250916,0.9803323149681091,0.875,0.875,0.7015405469930333,0.0017538513674825833
Red,30,0.5,0.0,0.0,0.2500250041484833,0.375,0.125,0.006135923151542565,1.5339807878856413e-05
Red,31,3.8409902155399323,0.2109375,0.1796706987589756,1.5662705898284912,0.875,1.5,2.061670178918302,0.005154175447295755
Red,32,0.75,0.0,0.0,0.3750250041484833,0.125,0.5,0.032724923474893676,8.181230868723419e-05
Red,33,12.071067675948143,1.140625,0.09836970762784678,4.97810173034668,3.5,4.0,58.64306286700947,0.14660765716752366
Red,34,0.75,0.0,0.0,0.3750250041484833,0.5,0.125,0.008181230868723419,2.0453077171808547e-05
Red,37,1.0303300768136978,0.0078125,0.09247985475540646,0.4507189095020294,0.5,0.375,0.07363107781851078,0.00018407769454627696
Red,38,3.267766922712326,0.28125,0.3309788558529266,1.3975675106048584,0.875,1.375,1.732375636452184,0.004330939091130461
Red,39,2.7374368458986282,0.2890625,0.4847450704971266,1.0078072547912598,1.125,0.75,0.662679700366597,0.0016566992509164924
Red,40,3.1945435851812363,0.2734375,0.3367055716839364,1.4252443313598633,1.25,1.0,1.308996938995747,0.0032724923474893677
Red,41,3.017766907811165,0.203125,0.28028629230329044,1.3521068096160889,1.25,0.875,1.0022007814186187,0.0025055019535465467
Red,42,0.6767766922712326,0.0234375,0.6430287075658971,0.2795335054397583,0.25,0.375,0.03681553890925539,9.203884727313848e-05
Red,43,5.267766922712326,0.0625,0.028303280760630954,2.4044480323791504,2.5,0.625,1.0226538585904272,0.0025566346464760683
Red,44,0.75,0.0,0.0,0.3750250041484833,0.125,0.5,0.032724923474893676,8.181230868723419e-05
Red,45,17.80850452184677,1.8984375,0.0752231067768817,5.446120262145996,3.375,5.5,106.91232499247764,0.2672808124811941
Red,46,11.906854122877121,0.90625,0.0803274199153052,3.9691731929779053,3.375,3.125,34.51456772742692,0.0862864193185673
Red,47,1.3535533845424652,0.09375,0.6430287075658971,0.5590419769287109,0.375,0.625,0.15339807878856412,0.0003834951969714103
Red,49,0.8535533845424652,0.03125,0.5390120920947209,0.3535783886909485,0.375,0.375,0.05522330836388308,0.0001380582709097077
Red,50,4.401650369167328,0.2265625,0.14694905807620198,1.6298255920410156,1.75,0.875,1.4030810939860665,0.0035077027349651665
Red,51,6.3587571531534195,0.8046875,0.25008787749861255,2.183056116104126,1.25,2.25,6.626797003665969,0.01656699250916492
Red,53,5.487436845898628,0.1953125,0.08150811188866196,2.527993679046631,0.625,2.625,4.509903516383784,0.01127475879095946
Red,55,2.133883461356163,0.2265625,0.6252540268298763,0.8385504484176636,0.625,0.875,0.5011003907093093,0.0012527509767732733
Red,56,4.901650369167328,0.4765625,0.24925568308374252,2.183056116104126,2.125,1.0,2.22529479629277,0.0055632369907319245
Red,57,0.9267766922712326,0.0546875,0.8001063703614795,0.3535783886909485,0.375,0.375,0.027611654181941538,6.902913545485384e-05
Red,61,1.5303300768136978,0.0546875,0.293445670720228,0.6731705665588379,0.375,0.75,0.22089323345553233,0.0005522330836388308
Red,62,0.25,0.0,0.0,0.12502500414848328,0.125,0.25,0.008181230868723419,2.0453077171808547e-05
Red,63,5.060660153627396,0.234375,0.11500237310286023,2.3881466388702393,0.5,2.5,3.2724923474893677,0.008181230868723419
Red,65,1.6035533845424652,0.015625,0.07635949446159827,0.7500249743461609,0.875,0.25,0.057268616081063935,0.00014317154020265983
